start_x;start_y;end_x;end_y;other_point_x;other_point_y;position_x;
1.32115000e+05;3.72282071e-01;1.32123000e+05;2.91902279e-02;1.32119000e+05;7.11242821e-01;1.32119000e+05;
1.32419000e+05;-4.34331111e-02;1.32446000e+05;1.81738363e-01;1.32420000e+05;6.51242232e+00;1.32419000e+05;
1.32446000e+05;1.81738363e-01;1.32480000e+05;9.07020359e-02;1.32479000e+05;-3.44685922e+00;1.32479000e+05;
1.39859000e+05;1.79178189e-01;1.39888000e+05;5.60230883e-02;1.39860000e+05;-1.48710183e+00;1.39859000e+05;
1.39887000e+05;-3.33676934e-02;1.39920000e+05;2.71972344e-02;1.39919000e+05;1.30631554e+00;1.39919000e+05;
1.39958000e+05;5.24284229e-02;1.4000900e+05;6.3236134e-02;1.39979000e+05;6.28565573e-01;1.39979000e+05;
1.40493000e+05;4.72855766e-01;1.40522000e+05;5.00168322e-01;1.40519000e+05;-2.86636643e+00;1.40519000e+05;
1.41052000e+05;-5.74559551e-01;1.41088000e+05;-2.61955827e-01;1.41059000e+05;-2.13752032e+00;1.41059000e+05;
1.41086000e+05;1.78883188e-01;1.41120000e+05;2.27995003e-01;1.41119000e+05;-3.31237628e+00;1.41119000e+05;
1.44119000e+05;1.79178189e-01;1.44148000e+05;5.26739673e-02;1.44120000e+05;-1.48995700e+00;1.44119000e+05;
1.44131000e+05;-1.17943485e+00;1.4418000e+05;-1.1611027e+00;1.44179000e+05;1.33448574e+00;1.44179000e+05;
1.44210000e+05;1.52883289e-02;1.44249000e+05;3.04941155e-02;1.4423900e+05;1.9638651e+00;1.4423900e+05;
1.44925000e+05;-3.34223624e-01;1.44968000e+05;-3.34082312e-01;1.44959000e+05;2.81268961e+00;1.44959000e+05;
1.45301000e+05;4.41092598e-02;1.45355000e+05;2.92455504e-01;1.45319000e+05;-3.98240709e+00;1.45319000e+05;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
